review_id,robustness_score,frac_significant,frac_reversed,iqr_theta,eta2_estimator,audit_n_fail,audit_n_warn,audit_pct_fail,audit_pub_bias_flag,audit_model_misspec_flag,audit_prediction_gap_flag,audit_excess_sig_flag,audit_integrity_flag,quality_score,fragility_sub,bias_sub,prediction_sub,orb_sub,benford_mad,has_changepoint,n_changepoints,k,total_n,data_type_binary,data_type_continuous,data_type_GIV,topdim_Bias_Correction,topdim_Estimator,topdim_Leave_One_Out,topdim_CI_Method,never_stabilized,fragile_or_unstable,low_quality
CD007130,58.32,0.1205173427395649,0.0,0.0440040395890483,0.0189,1,10,0.09090909090909091,1,0,0,0,0,55.9,58.32,0.0,3.23,30.0,0.12451823583768792,0,0,12.0,1647.0,0,0,1,1,0,0,0,0,1,1
CD007156,36.11,0.3611111111111111,0.0,0.218671539675609,0.0,2,8,0.3333333333333333,1,0,0,0,0,43.5,36.11,,6.48,0.0,0.09977111207467085,0,0,23.0,2870.0,0,0,1,0,0,0,1,0,1,1
CD007310,95.83,0.0,0.0,0.0995262396305541,0.0,18,22,0.625,1,1,1,1,0,88.5,95.83,0.0,1.31,0.0,0.1424395683018516,1,1,12.0,1925.0,0,0,1,1,0,0,0,1,0,0
CD007374,95.24,0.0476190476190476,0.0,0.1691980226814591,0.0,7,13,0.22727272727272727,1,1,1,0,1,78.3,95.24,0.0,1.42,0.0,0.14044960326786793,0,0,5.0,943.0,0,0,1,0,0,1,0,0,0,0
CD007491,83.95,0.0282186948853615,0.0,0.2244980546682209,0.0039,0,2,0.0,0,0,0,0,0,71.4,83.95,0.0,2.45,20.0,0.12179946774501868,0,0,3.0,420.0,0,0,1,0,0,1,0,0,0,0
CD007569,79.37,0.1111111111111111,0.0,0.0796145616241849,0.0,0,3,0.0,0,0,0,0,0,71.3,79.37,0.0,1.9,10.0,0.08843111303823056,0,0,15.0,1477.0,0,0,1,0,0,1,0,0,0,0
CD007572,66.67,0.6666666666666666,0.0,0.1651177090722512,0.0,4,14,0.2727272727272727,0,1,1,0,0,46.1,66.67,2.0,3.04,15.0,0.09052546690245604,0,0,8.0,2720.0,0,0,1,1,0,0,0,0,1,1
CD007639,34.92,0.0105820105820105,0.0105820105820105,0.5698366211943027,0.0998,11,11,0.5333333333333333,1,1,0,0,1,47.7,34.92,0.0,3.3,30.0,0.11358089746653646,0,0,18.0,992.0,0,0,1,0,0,1,0,0,1,1
CD007674,55.17,0.5517241379310345,0.0,0.6152874881407977,0.0074,10,12,0.625,1,1,1,0,0,32.3,55.17,3.0,4.61,80.0,0.1275625039394931,0,0,20.0,3295.0,0,0,1,1,0,0,0,0,1,1
CD007784,100.0,1.0,0.0,0.0775425783184441,0.0,20,56,0.3114754098360656,1,1,1,1,0,82.5,100.0,1.0,2.39,50.0,0.13712651475866963,0,0,16.0,39382.0,0,0,1,0,1,0,0,0,0,0
